dt,feat,lam,clip_x,n_train_pairs,skipped_pairs,n_test_traj_used,rmse_direct_raw,train_traj_ids,val_traj_ids,test_traj_ids_intrain,used_test_traj_ids,seed
0.03,linear,1.0,8.0,3980,199,19,1.951124878563049,"[17, 9, 5, 7, 27, 15, 28, 25, 23, 18, 6, 1, 4, 26, 11, 3, 10, 20, 14, 19, 16]","[2, 12, 29, 8]","[21, 22, 0, 13, 24]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",10
0.03,linear,1.0,8.0,3980,199,19,1.925173057665352,"[4, 11, 5, 15, 23, 6, 0, 21, 9, 26, 2, 1, 29, 8, 27, 18, 3, 24, 17, 12, 22]","[25, 20, 13, 28]","[19, 10, 7, 16, 14]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",11
0.03,linear,1.0,8.0,3980,199,19,1.9309279193231115,"[26, 3, 5, 15, 1, 25, 9, 12, 11, 7, 4, 14, 13, 20, 23, 2, 27, 22, 6, 17, 21]","[10, 16, 0, 29]","[19, 18, 8, 28, 24]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",12
0.03,linear,1.0,8.0,3980,199,19,1.9478182119571097,"[16, 1, 6, 3, 12, 0, 17, 24, 14, 22, 2, 20, 23, 10, 13, 5, 15, 4, 27, 18, 8]","[7, 21, 26, 11]","[19, 25, 29, 9, 28]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",13
0.03,linear,1.0,8.0,3980,199,19,1.9740176315428135,"[14, 4, 20, 26, 7, 5, 12, 13, 28, 21, 22, 18, 25, 15, 9, 24, 23, 27, 10, 19, 3]","[0, 6, 16, 11]","[8, 17, 1, 2, 29]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",14
0.03,linear,1.0,8.0,3980,199,19,2.0964975820620233,"[22, 23, 15, 14, 0, 11, 7, 6, 9, 24, 3, 29, 18, 8, 16, 21, 13, 19, 28, 10, 27]","[5, 20, 2, 12]","[26, 17, 4, 25, 1]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",15
0.03,linear,1.0,8.0,4179,0,19,1.8963245232565529,"[6, 16, 26, 24, 4, 18, 11, 25, 21, 23, 22, 7, 8, 1, 15, 5, 0, 12, 20, 10, 19]","[28, 27, 13, 3]","[9, 17, 14, 29, 2]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",16
0.03,linear,1.0,8.0,3980,199,19,1.920329164849192,"[27, 24, 3, 5, 28, 12, 6, 14, 22, 4, 17, 23, 26, 25, 29, 16, 20, 9, 8, 7, 1]","[0, 13, 15, 2]","[10, 18, 11, 21, 19]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",17
0.03,linear,1.0,8.0,3980,199,19,1.9266288482980622,"[22, 21, 8, 0, 25, 2, 13, 28, 15, 18, 23, 29, 27, 12, 7, 24, 10, 5, 11, 16, 6]","[4, 14, 26, 20]","[1, 17, 9, 3, 19]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",18
0.03,linear,1.0,8.0,4179,0,19,1.9595491095868112,"[21, 23, 9, 11, 14, 26, 4, 5, 29, 16, 28, 12, 25, 24, 18, 1, 8, 2, 7, 20, 0]","[19, 13, 10, 6]","[17, 15, 3, 27, 22]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",19
0.03,linear,1.0,8.0,3980,199,19,1.989047203140368,"[14, 22, 0, 2, 25, 13, 10, 4, 9, 5, 1, 24, 20, 16, 15, 29, 7, 23, 28, 12, 27]","[8, 3, 6, 19]","[18, 17, 21, 11, 26]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",20
0.03,linear,1.0,8.0,4179,0,19,1.9491358284551439,"[6, 17, 29, 22, 21, 4, 9, 11, 10, 19, 12, 7, 20, 0, 23, 16, 24, 14, 15, 8, 5]","[1, 25, 28, 27]","[13, 26, 3, 2, 18]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",21
0.03,linear,1.0,8.0,4179,0,19,1.941337229800433,"[11, 21, 1, 22, 3, 14, 25, 5, 6, 24, 19, 13, 15, 26, 4, 16, 7, 9, 23, 2, 17]","[12, 8, 18, 28]","[10, 29, 0, 20, 27]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",22
0.03,linear,1.0,8.0,3980,199,19,1.908414587637936,"[21, 8, 13, 7, 6, 14, 1, 29, 12, 26, 25, 24, 22, 2, 3, 19, 27, 11, 5, 23, 10]","[28, 18, 4, 9]","[16, 0, 17, 15, 20]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",23
0.03,linear,1.0,8.0,3980,199,19,1.9210911079452064,"[21, 0, 10, 24, 1, 17, 16, 13, 19, 20, 29, 25, 4, 22, 2, 12, 11, 6, 3, 14, 27]","[5, 18, 7, 9]","[26, 23, 15, 28, 8]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",24
0.03,linear,1.0,8.0,3980,199,19,1.9301054185909365,"[5, 14, 0, 10, 18, 15, 6, 3, 22, 19, 27, 26, 17, 21, 11, 9, 12, 7, 13, 4, 16]","[28, 8, 2, 1]","[25, 23, 29, 24, 20]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",25
0.03,linear,1.0,8.0,3980,199,19,1.9644121041711513,"[14, 9, 1, 5, 18, 6, 3, 15, 10, 29, 7, 28, 26, 23, 24, 12, 21, 8, 0, 20, 27]","[2, 13, 16, 19]","[22, 11, 17, 25, 4]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",26
0.03,linear,1.0,8.0,3980,199,19,1.8585832452103461,"[16, 25, 2, 26, 0, 5, 3, 22, 27, 15, 8, 9, 6, 12, 18, 14, 4, 11, 29, 17, 1]","[28, 24, 21, 10]","[7, 19, 20, 23, 13]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",27
0.03,linear,1.0,8.0,3980,199,19,1.9231784447004132,"[22, 28, 25, 12, 8, 4, 9, 7, 19, 14, 13, 0, 21, 6, 17, 2, 27, 5, 20, 3, 15]","[11, 29, 1, 23]","[10, 26, 18, 16, 24]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",28
0.03,linear,1.0,8.0,4179,0,19,1.9483429174132936,"[13, 22, 8, 0, 26, 19, 5, 1, 15, 14, 7, 16, 21, 25, 3, 23, 11, 28, 10, 4, 2]","[6, 27, 12, 9]","[24, 29, 18, 20, 17]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",29
